?cls	?xref
<http://purl.obolibrary.org/obo/ENVO_00002005>	"LTER:18"
<http://purl.obolibrary.org/obo/ENVO_00002005>	"SWEETRealm:Air"
<http://purl.obolibrary.org/obo/ENVO_00002005>	"EcoLexicon:air"
<http://purl.obolibrary.org/obo/ENVO_01000887>	"NLCD:72"
<http://purl.obolibrary.org/obo/PO_0025337>	"PO_GIT:230"
<http://purl.obolibrary.org/obo/ENVO_00000248>	"https://en.wikipedia.org/wiki/Glacial_valley"
<http://purl.obolibrary.org/obo/ENVO_00000261>	"FTT:770"
<http://purl.obolibrary.org/obo/ENVO_00000261>	"FTT:259"
<http://purl.obolibrary.org/obo/ENVO_00000261>	"FTT:771"
<http://purl.obolibrary.org/obo/ENVO_00000261>	"TGN:21607"
<http://purl.obolibrary.org/obo/ENVO_01000342>	"LTER:350"
<http://purl.obolibrary.org/obo/PO_0020148>	"PO_GIT:472"
<http://purl.obolibrary.org/obo/PO_0025430>	"PO_GIT:427"
<http://purl.obolibrary.org/obo/CHEBI_17891>	"KEGG:C01351"
<http://purl.obolibrary.org/obo/ENVO_01000177>	"SPIRE:Savannah_or_grassland"
<http://purl.obolibrary.org/obo/ENVO_01001646>	<http://vocab.nerc.ac.uk/collection/S23/current/S23C014/>
<http://purl.obolibrary.org/obo/ENVO_01001239>	"https://en.wikipedia.org/wiki/Canopy"
<http://purl.obolibrary.org/obo/ENVO_01001239>	"SWEETRealm:Canopy"
<http://purl.obolibrary.org/obo/ENVO_01001239>	"LTER:82"
<http://purl.obolibrary.org/obo/ENVO_01001239>	"EcoLexicon:canopy"
<http://purl.obolibrary.org/obo/ENVO_01001617>	"http://sweetontology.net/phenCryo/Accumulation"
<http://purl.obolibrary.org/obo/ENVO_00000000>	"https://en.wikipedia.org/wiki/Geographic_feature"
<http://purl.obolibrary.org/obo/PO_0004010>	"CL:0000034"
<http://purl.obolibrary.org/obo/PO_0004010>	"PO_GIT:272"
<http://purl.obolibrary.org/obo/ENVO_00000016>	"Geonames:H.SEA"
<http://purl.obolibrary.org/obo/ENVO_00000016>	"EcoLexicon:sea"
<http://purl.obolibrary.org/obo/ENVO_00000016>	"TGN:21103"
<http://purl.obolibrary.org/obo/ENVO_00000016>	"FTT:830"
<http://purl.obolibrary.org/obo/ENVO_00000016>	"https://en.wikipedia.org/wiki/Sea"
<http://purl.obolibrary.org/obo/ENVO_00000016>	"FTT:233"
<http://purl.obolibrary.org/obo/ENVO_01001211>	"NCIT:C44445"
<http://purl.obolibrary.org/obo/ENVO_00002264>	"SWEETRealm:Waste"
<http://purl.obolibrary.org/obo/ENVO_00002264>	"EcoLexicon:waste"
<http://purl.obolibrary.org/obo/ENVO_00002264>	"https://en.wikipedia.org/wiki/Waste"
<http://purl.obolibrary.org/obo/ENVO_01000179>	"SPIRE:Desert_or_dune"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"https://en.wikipedia.org/wiki/Desert"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"LTER:147"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"FTT:1"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"TGN:21201"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"SWEETRealm:Desert"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"FTT:188"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"EcoLexicon:desert"
<http://purl.obolibrary.org/obo/ENVO_00000097>	"Geonames:T.DSRT"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:45"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:51"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:64"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:46"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:44"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:74"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"Geonames:L.AGRC"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"Geonames:S.NSY"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:62"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:1246"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:57"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:72"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:52"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:1247"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:50"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:60"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:48"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"FTT:63"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"TGN:55001"
<http://purl.obolibrary.org/obo/ENVO_00000077>	"Geonames:L.RESA"
<http://purl.obolibrary.org/obo/ENVO_00002215>	"SWEETRealm:GeothermalPowerPlant"
<http://purl.obolibrary.org/obo/ENVO_00002215>	"https://en.wikipedia.org/wiki/Geothermal_power_plant"
<http://purl.obolibrary.org/obo/ENVO_00000020>	"Geonames:H.LKS"
<http://purl.obolibrary.org/obo/ENVO_00000020>	"LTER:278"
<http://purl.obolibrary.org/obo/ENVO_00000020>	"Geonames:H.LK"
<http://purl.obolibrary.org/obo/ENVO_00000020>	"TGN:21115"
<http://purl.obolibrary.org/obo/ENVO_00000020>	"SWEETRealm:Lake"
<http://purl.obolibrary.org/obo/ENVO_00000020>	"FTT:909"
<http://purl.obolibrary.org/obo/ENVO_00000020>	"SPIRE:Lake_or_pond"
<http://purl.obolibrary.org/obo/ENVO_00000020>	"FTT:221"
<http://purl.obolibrary.org/obo/ENVO_00000020>	"EcoLexicon:lake"
<http://purl.obolibrary.org/obo/ENVO_00000020>	"TGN:21114"
<http://purl.obolibrary.org/obo/ENVO_00000020>	"FTT:704"
<http://purl.obolibrary.org/obo/PO_0025025>	"FNA:b7ce680b-c6ed-4d2e-81e6-66970f7deff9"
<http://purl.obolibrary.org/obo/PO_0025025>	"PO_GIT:136"
<http://purl.obolibrary.org/obo/ENVO_00000063>	"FTT:131"
<http://purl.obolibrary.org/obo/ENVO_00000063>	"FTT:280"
